dataset,chunker,total,em_correct,em_zero,retrieval_failure,retrieval_failure_pct,false_refusal,false_refusal_pct,format_verbose,format_verbose_pct,format_terse,format_terse_pct,paraphrase,paraphrase_pct,partial_answer,partial_answer_pct,wrong_answer,wrong_answer_pct,coarse_retrieval_failure,coarse_retrieval_failure_pct,coarse_format_or_refusal,coarse_format_or_refusal_pct,coarse_model_error,coarse_model_error_pct
squad_v2,fixed_128,60,23,37,3,8.1,7,18.9,11,29.7,1,2.7,0,0.0,8,21.6,7,18.9,3,8.1,19,51.4,15,40.5
squad_v2,fixed_256,60,23,37,7,18.9,5,13.5,12,32.4,2,5.4,1,2.7,5,13.5,5,13.5,7,18.9,20,54.1,10,27.0
squad_v2,fixed_512,60,24,36,6,16.7,6,16.7,12,33.3,1,2.8,1,2.8,6,16.7,4,11.1,6,16.7,20,55.6,10,27.8
squad_v2,parametric_only,60,8,52,52,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,52,100.0,0,0.0,0,0.0
squad_v2,recursive_256,60,25,35,5,14.3,4,11.4,14,40.0,2,5.7,3,8.6,4,11.4,3,8.6,5,14.3,23,65.7,7,20.0
squad_v2,semantic_256,60,25,35,3,8.6,9,25.7,14,40.0,0,0.0,2,5.7,3,8.6,4,11.4,3,8.6,25,71.4,7,20.0
squad_v2,sentence_256,60,21,39,8,20.5,5,12.8,14,35.9,1,2.6,1,2.6,3,7.7,7,17.9,8,20.5,21,53.8,10,25.6
hotpot_qa,fixed_128,30,6,24,0,0.0,8,33.3,6,25.0,1,4.2,0,0.0,4,16.7,5,20.8,0,0.0,15,62.5,9,37.5
hotpot_qa,fixed_256,30,6,24,0,0.0,9,37.5,4,16.7,1,4.2,1,4.2,2,8.3,7,29.2,0,0.0,15,62.5,9,37.5
hotpot_qa,fixed_512,30,6,24,0,0.0,8,33.3,5,20.8,1,4.2,1,4.2,2,8.3,7,29.2,0,0.0,15,62.5,9,37.5
hotpot_qa,parametric_only,30,3,27,27,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27,100.0,0,0.0,0,0.0
hotpot_qa,recursive_256,30,8,22,0,0.0,9,40.9,5,22.7,2,9.1,0,0.0,1,4.5,5,22.7,0,0.0,16,72.7,6,27.3
hotpot_qa,semantic_256,30,7,23,0,0.0,8,34.8,7,30.4,2,8.7,0,0.0,1,4.3,5,21.7,0,0.0,17,73.9,6,26.1
hotpot_qa,sentence_256,30,7,23,0,0.0,9,39.1,4,17.4,2,8.7,0,0.0,1,4.3,7,30.4,0,0.0,15,65.2,8,34.8
